,,,,,,FASTAG FINANCIAL REPORT
From,2022-02-01 00:00:00,,
To,2022-06-10 00:00:00,Generated,2022:06:11:12:12:48:PM
PARKING NODE,TRANSACTION ID,TICKET ID,CARD TAG NO,DATE TIME OF ENTRY,VEHICLE NUMBER,ENTRY DEVICE NAME,DATE TIME OF EXIT,EXIT DEVICE NAME,MODE OF PAYMENT,PARKING FEE GROSS,TAX,PARKING FEE NET,STAY DURATION
Terminal-2,_71100318170222131844_,1645083919-13,34161FA820328E400475CC20,02/17/2022 13:15:19,,13,02/17/2022 13:18:44,18,Fastag,100,15.25,84.75,0:0:3:25
Terminal-2,_71100318170222131844_,1645083919-13,34161FA820328E400475CC20,02/17/2022 13:15:19,,13,02/17/2022 13:18:44,18,Fastag,100,15.25,84.75,0:0:3:25
Terminal-2,_71100318170222131844_,1645083919-13,34161FA820328E400475CC20,02/17/2022 13:15:19,,13,02/17/2022 13:18:44,18,Fastag,100,15.25,84.75,0:0:3:25
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
Terminal-2,_71100318170222141627_,1645086582-13,34161FA820328AA202A765C0,02/17/2022 13:59:42,PB01B0060,13,02/17/2022 14:16:27,18,Fastag,100,15.25,84.75,0:0:16:45
,,,,,,,,Total,23,2300,350.75,1949.25
